label,value
Agriculture & Natural Resources Conservation,AGR
Architecture,ARC
"Area, Ethnic, & Multidisciplinary Studies",ETH
Arts: Visual & Performing,ART
Business,BIZ
Communications,COM
"Community, Family, & Personal Services",FAM
Computer Science & Mathematics,MAT
Education,EDU
Engineering,ENG
Engineering Technology & Drafting,END
English & Foreign Languages,LAN
Health Administration & Assisting,HEA
Health Sciences & Technologies,SCI
"Philosophy, Religion, & Theology",PHI
"Repair, Production, & Construction",REP
Sciences: Biological & Physical,SCI
Social Sciences & Law,LAW